x,y
605,390
594,382
602,375
613,371
628,367
650,363
673,367
696,365
716,370
728,375
737,381
741,390
734,407
724,424
710,440
690,451
666,453
641,449
622,437
608,419
599,401
596,385
603,377
615,372
629,367
650,364
672,368
694,366
714,370
727,375
736,381
740,390
733,410
723,428
708,445
688,455
665,457
642,453
623,443
610,425
601,405
594,382
602,375
613,370
628,366
650,363
673,367
695,365
715,370
728,375
736,381
740,389
733,408
723,426
708,442
689,453
665,455
642,451
623,439
608,421
600,402
596,380
603,375
614,371
628,367
649,364
672,368
695,365
716,369
728,374
736,380
740,386
733,403
723,419
709,435
688,446
664,449
639,445
620,433
607,415
600,398
600,377
607,373
617,370
632,366
653,362
674,366
696,363
715,368
727,373
735,377
740,382
734,395
725,409
711,424
692,434
669,437
645,433
626,422
613,406
605,391
597,374
604,370
616,368
631,364
652,361
674,365
697,362
717,367
729,371
738,375
743,380
736,391
727,402
712,415
693,423
669,425
646,422
626,412
612,399
603,386
600,374
607,371
618,368
633,365
654,361
675,364
696,362
716,366
728,371
736,375
741,380
734,389
725,400
711,412
692,420
670,421
647,418
628,409
614,396
605,385
602,377
610,373
620,370
634,366
654,361
675,365
696,362
715,367
726,372
735,376
740,381
734,391
725,401
711,412
693,419
672,421
650,418
631,410
617,398
608,387
602,377
609,373
620,369
634,365
655,360
676,364
697,361
716,367
727,372
735,377
740,382
734,391
726,401
713,412
694,420
672,421
649,418
630,410
616,398
607,387
603,378
610,374
621,370
634,365
654,360
675,364
696,361
715,367
727,372
735,377
740,383
734,392
725,401
711,412
693,420
671,421
649,418
631,410
617,398
609,387
605,379
611,375
622,370
635,365
656,360
676,364
697,361
715,367
727,373
735,378
739,384
733,392
725,401
711,412
693,419
672,421
650,418
632,410
618,398
610,388
606,380
612,376
622,371
636,366
656,360
677,364
697,361
716,367
727,374
735,380
739,386
733,393
725,402
711,412
693,419
672,421
650,418
632,409
619,398
611,389
606,380
613,376
623,371
636,365
656,360
676,363
697,361
716,367
727,374
735,380
739,386
733,393
725,402
711,412
693,419
672,420
651,417
633,409
620,398
612,389
607,380
613,375
623,371
636,365
656,359
676,363
696,360
715,367
727,373
735,379
739,385
733,393
724,402
711,412
693,420
672,421
651,418
633,410
620,398
612,388
607,381
613,376
623,371
637,365
656,359
676,362
696,360
715,367
726,374
734,380
738,386
732,394
724,403
711,413
693,420
673,421
651,418
634,410
621,399
612,390
609,384
615,378
624,372
637,366
656,359
675,363
696,360
715,367
726,374
735,381
739,388
733,397
724,405
710,415
693,422
672,424
651,421
633,413
621,402
614,393
610,383
616,377
625,371
638,365
658,359
677,362
697,360
715,367
726,374
734,381
738,388
732,397
724,406
711,416
693,424
672,425
651,422
634,414
622,402
614,392
610,383
616,377
625,372
637,365
657,358
676,362
696,359
714,366
726,374
733,381
737,388
732,397
724,406
711,417
693,424
672,426
651,423
634,414
622,402
615,392
610,383
616,377
626,372
639,365
659,359
678,362
698,359
716,367
727,374
735,381
739,388
733,397
725,406
711,417
694,424
673,426
652,422
635,414
622,402
615,391
608,382
614,377
624,372
638,366
658,360
677,363
697,361
716,367
727,375
735,381
739,388
733,395
725,403
712,413
694,419
673,421
652,418
634,410
622,399
613,390
609,381
615,376
625,371
638,365
658,359
678,363
698,360
717,367
728,374
736,381
740,387
734,395
725,403
712,413
694,420
673,421
652,418
635,410
622,399
614,389
608,381
614,376
624,371
637,365
657,359
677,363
698,360
716,367
728,374
736,381
740,387
734,395
725,404
711,414
693,421
673,422
652,419
634,410
621,399
613,389
607,381
614,376
624,372
637,366
657,360
676,364
697,361
715,367
727,374
736,381
740,387
734,396
724,405
711,416
693,423
672,424
651,421
633,413
620,401
612,390
604,382
610,376
619,372
632,367
652,363
672,367
694,364
713,370
726,376
735,382
740,389
734,403
725,417
710,432
691,441
668,444
645,439
627,428
615,412
608,397
598,385
605,378
617,374
632,370
654,366
676,370
698,368
717,372
729,378
738,384
741,393
734,411
724,429
709,445
690,456
666,458
643,453
624,442
610,423
603,405
596,384
604,376
615,372
630,368
652,367
675,371
698,368
719,372
731,376
739,382
743,390
735,410
724,428
709,445
688,456
664,458
641,454
622,443
608,424
600,404
596,383
603,376
615,372
631,369
654,367
677,372
700,369
719,373
731,377
739,383
742,391
735,409
726,428
712,445
692,455
669,458
644,453
624,442
610,423
601,404
595,382
602,376
614,372
630,369
652,367
676,371
699,369
719,372
731,377
739,383
743,390
735,408
726,426
711,443
691,455
666,458
642,453
622,441
608,422
599,402
597,379
605,375
617,372
632,369
655,367
678,371
700,368
720,372
731,376
739,381
743,386
736,402
726,418
711,434
691,445
667,448
642,444
622,432
609,414
601,396
599,376
607,374
619,372
634,369
656,366
677,370
699,367
718,371
729,375
738,379
743,382
736,395
727,408
713,422
695,431
672,433
648,430
629,419
615,404
606,390
600,374
608,372
620,369
635,366
657,363
679,366
701,364
720,368
733,373
741,376
746,380
739,390
729,401
715,413
697,421
674,423
651,419
632,410
617,397
607,386
602,374
611,372
622,370
637,367
659,363
680,366
701,364
720,368
732,372
740,376
745,379
738,389
729,399
715,410
697,418
675,420
651,417
632,409
618,396
609,385
602,375
610,372
621,369
637,366
658,363
680,366
701,364
721,368
733,373
741,376
746,380
739,390
729,400
715,412
696,419
674,421
651,418
632,409
618,397
608,386
603,375
611,372
623,370
638,367
660,363
681,367
702,365
720,369
732,373
741,376
746,380
738,390
729,401
715,412
697,420
675,421
652,418
633,410
619,397
610,386
605,377
613,373
624,370
639,366
660,363
682,366
703,364
722,368
733,373
741,377
745,382
738,391
730,401
716,412
698,420
677,422
654,419
635,410
621,398
612,387
605,378
613,375
624,371
639,367
660,363
681,366
702,364
721,369
732,374
739,379
743,384
737,393
729,403
716,414
698,421
677,423
654,420
635,411
620,399
611,388
607,379
614,375
625,371
639,366
660,362
681,366
701,363
719,369
730,375
737,380
741,386
735,394
727,404
714,415
697,422
675,424
653,420
635,412
621,399
613,388
609,379
616,375
626,371
640,367
660,361
681,365
701,363
719,369
730,375
738,381
742,387
736,395
727,404
714,415
696,422
674,424
653,421
635,412
622,399
614,389
610,382
616,377
627,372
640,366
661,361
681,365
701,362
720,368
731,375
739,382
743,388
736,396
727,405
713,416
696,423
675,424
654,421
636,413
623,401
615,391
612,385
618,379
628,373
641,366
662,360
681,364
701,361
720,368
731,376
739,383
743,390
737,398
728,406
714,416
696,423
676,424
655,421
638,414
625,403
617,393
